danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.572,0.271,7,-11.93,1,0.0524,0.729,0.0,0.119,0.21,170.264,audio_features,1gXe5sqVchOmBQbfcMCXVr,spotify:track:1gXe5sqVchOmBQbfcMCXVr,https://api.spotify.com/v1/tracks/1gXe5sqVchOmBQbfcMCXVr,https://api.spotify.com/v1/audio-analysis/1gXe5sqVchOmBQbfcMCXVr,151000,4
0.45,0.234,9,-12.948,1,0.0486,0.879,0.0,0.141,0.587,180.503,audio_features,0OplgCVl7IWuzdFFwJE7ip,spotify:track:0OplgCVl7IWuzdFFwJE7ip,https://api.spotify.com/v1/tracks/0OplgCVl7IWuzdFFwJE7ip,https://api.spotify.com/v1/audio-analysis/0OplgCVl7IWuzdFFwJE7ip,142240,4
0.536,0.228,11,-12.47,1,0.0447,0.761,6.34e-05,0.103,0.566,155.283,audio_features,5xjxCpeNNKYnQGwtzdr69a,spotify:track:5xjxCpeNNKYnQGwtzdr69a,https://api.spotify.com/v1/tracks/5xjxCpeNNKYnQGwtzdr69a,https://api.spotify.com/v1/audio-analysis/5xjxCpeNNKYnQGwtzdr69a,313387,3
0.861,0.199,9,-12.103,1,0.072,0.343,3.13e-06,0.14,0.495,76.938,audio_features,0cmpJWweB2ygViRfYqdJUd,spotify:track:0cmpJWweB2ygViRfYqdJUd,https://api.spotify.com/v1/tracks/0cmpJWweB2ygViRfYqdJUd,https://api.spotify.com/v1/audio-analysis/0cmpJWweB2ygViRfYqdJUd,217593,4
0.788,0.427,10,-8.599,1,0.0322,0.581,0.000633,0.129,0.741,115.042,audio_features,4j0a66m0RPGt9iM3wiQfJJ,spotify:track:4j0a66m0RPGt9iM3wiQfJJ,https://api.spotify.com/v1/tracks/4j0a66m0RPGt9iM3wiQfJJ,https://api.spotify.com/v1/audio-analysis/4j0a66m0RPGt9iM3wiQfJJ,115336,4
0.527,0.412,0,-10.37,1,0.0914,0.533,0.000175,0.244,0.387,128.116,audio_features,3QoZGJ0T90otq6Nqn9O414,spotify:track:3QoZGJ0T90otq6Nqn9O414,https://api.spotify.com/v1/tracks/3QoZGJ0T90otq6Nqn9O414,https://api.spotify.com/v1/audio-analysis/3QoZGJ0T90otq6Nqn9O414,95493,4
0.627,0.563,2,-8.09,1,0.611,0.603,0.0,0.193,0.963,80.108,audio_features,1a1BA1mJ0rjLpGOupMKpou,spotify:track:1a1BA1mJ0rjLpGOupMKpou,https://api.spotify.com/v1/tracks/1a1BA1mJ0rjLpGOupMKpou,https://api.spotify.com/v1/audio-analysis/1a1BA1mJ0rjLpGOupMKpou,113440,4
0.892,0.366,2,-9.288,1,0.0587,0.398,0.0,0.174,0.394,95.075,audio_features,5NHXpmEjN0dA29ovGYf9aT,spotify:track:5NHXpmEjN0dA29ovGYf9aT,https://api.spotify.com/v1/tracks/5NHXpmEjN0dA29ovGYf9aT,https://api.spotify.com/v1/audio-analysis/5NHXpmEjN0dA29ovGYf9aT,148653,4
0.63,0.302,0,-11.592,1,0.05,0.754,1.79e-05,0.164,0.488,131.86,audio_features,19aY2AWes2PD1vD8mBlEkS,spotify:track:19aY2AWes2PD1vD8mBlEkS,https://api.spotify.com/v1/tracks/19aY2AWes2PD1vD8mBlEkS,https://api.spotify.com/v1/audio-analysis/19aY2AWes2PD1vD8mBlEkS,171000,4
0.758,0.505,11,-13.715,0,0.0498,0.723,0.832,0.372,0.851,104.508,audio_features,6CEXfsi1Pm9s4U9T5rsmQi,spotify:track:6CEXfsi1Pm9s4U9T5rsmQi,https://api.spotify.com/v1/tracks/6CEXfsi1Pm9s4U9T5rsmQi,https://api.spotify.com/v1/audio-analysis/6CEXfsi1Pm9s4U9T5rsmQi,112493,4
0.882,0.541,7,-7.737,1,0.0568,0.401,0.0,0.403,0.701,97.095,audio_features,77AGbfDdMGeJIztGTlhnCm,spotify:track:77AGbfDdMGeJIztGTlhnCm,https://api.spotify.com/v1/tracks/77AGbfDdMGeJIztGTlhnCm,https://api.spotify.com/v1/audio-analysis/77AGbfDdMGeJIztGTlhnCm,113269,4
0.731,0.347,11,-8.704,1,0.0566,0.849,4.28e-05,0.0872,0.722,120.899,audio_features,2aq2oNsXZpNWtupmFSa526,spotify:track:2aq2oNsXZpNWtupmFSa526,https://api.spotify.com/v1/tracks/2aq2oNsXZpNWtupmFSa526,https://api.spotify.com/v1/audio-analysis/2aq2oNsXZpNWtupmFSa526,110456,4
0.607,0.228,7,-11.914,1,0.134,0.798,3.24e-05,0.151,0.125,174.218,audio_features,4nG6EmcDdEPwz1WbZm8Thz,spotify:track:4nG6EmcDdEPwz1WbZm8Thz,https://api.spotify.com/v1/tracks/4nG6EmcDdEPwz1WbZm8Thz,https://api.spotify.com/v1/audio-analysis/4nG6EmcDdEPwz1WbZm8Thz,138195,4
0.876,0.133,9,-13.827,1,0.0783,0.806,4.99e-05,0.206,0.429,128.009,audio_features,6dhZkeUGwBIakpyulKNjuf,spotify:track:6dhZkeUGwBIakpyulKNjuf,https://api.spotify.com/v1/tracks/6dhZkeUGwBIakpyulKNjuf,https://api.spotify.com/v1/audio-analysis/6dhZkeUGwBIakpyulKNjuf,130239,4
0.628,0.334,8,-8.974,1,0.189,0.444,0.0,0.0489,0.87,83.341,audio_features,7MtMWOVyFEW4zwnZDUJhQ6,spotify:track:7MtMWOVyFEW4zwnZDUJhQ6,https://api.spotify.com/v1/tracks/7MtMWOVyFEW4zwnZDUJhQ6,https://api.spotify.com/v1/audio-analysis/7MtMWOVyFEW4zwnZDUJhQ6,76140,4
0.927,0.372,7,-6.236,1,0.0356,0.00427,0.000268,0.271,0.669,110.313,audio_features,4jVDqzklmBDVhrr7jzqNry,spotify:track:4jVDqzklmBDVhrr7jzqNry,https://api.spotify.com/v1/tracks/4jVDqzklmBDVhrr7jzqNry,https://api.spotify.com/v1/audio-analysis/4jVDqzklmBDVhrr7jzqNry,118703,4
0.531,0.501,0,-6.577,1,0.119,0.787,1.35e-06,0.154,0.561,81.587,audio_features,3jY8jz57bWzrAAT4DUa7Sw,spotify:track:3jY8jz57bWzrAAT4DUa7Sw,https://api.spotify.com/v1/tracks/3jY8jz57bWzrAAT4DUa7Sw,https://api.spotify.com/v1/audio-analysis/3jY8jz57bWzrAAT4DUa7Sw,117493,4
0.723,0.308,9,-12.199,1,0.106,0.523,1.03e-06,0.0558,0.767,67.486,audio_features,06hDZfs36ANeSAHGRH9hTD,spotify:track:06hDZfs36ANeSAHGRH9hTD,https://api.spotify.com/v1/tracks/06hDZfs36ANeSAHGRH9hTD,https://api.spotify.com/v1/audio-analysis/06hDZfs36ANeSAHGRH9hTD,194053,4
0.713,0.323,1,-10.491,1,0.194,0.633,0.0,0.126,0.807,122.246,audio_features,6DvvqahjSEjAS0Mz9Vaz79,spotify:track:6DvvqahjSEjAS0Mz9Vaz79,https://api.spotify.com/v1/tracks/6DvvqahjSEjAS0Mz9Vaz79,https://api.spotify.com/v1/audio-analysis/6DvvqahjSEjAS0Mz9Vaz79,113440,4
0.588,0.573,8,-8.342,1,0.0389,0.378,2.39e-05,0.173,0.917,127.727,audio_features,2GnWv9ouJFk1ErCoEf39Im,spotify:track:2GnWv9ouJFk1ErCoEf39Im,https://api.spotify.com/v1/tracks/2GnWv9ouJFk1ErCoEf39Im,https://api.spotify.com/v1/audio-analysis/2GnWv9ouJFk1ErCoEf39Im,141994,4
0.79,0.451,6,-10.255,1,0.196,0.725,0.0,0.0932,0.923,140.133,audio_features,2JjcNFmjwSULDXgXzTywXh,spotify:track:2JjcNFmjwSULDXgXzTywXh,https://api.spotify.com/v1/tracks/2JjcNFmjwSULDXgXzTywXh,https://api.spotify.com/v1/audio-analysis/2JjcNFmjwSULDXgXzTywXh,78002,4
0.817,0.403,11,-9.62,1,0.0773,0.274,1.07e-05,0.159,0.553,137.983,audio_features,25CHvQ3ZTUiCWP3soLxSFD,spotify:track:25CHvQ3ZTUiCWP3soLxSFD,https://api.spotify.com/v1/tracks/25CHvQ3ZTUiCWP3soLxSFD,https://api.spotify.com/v1/audio-analysis/25CHvQ3ZTUiCWP3soLxSFD,164512,4
0.799,0.0734,2,-13.254,1,0.0663,0.66,0.0,0.0675,0.639,105.535,audio_features,5paWhWvATZS1GtupfSFFLu,spotify:track:5paWhWvATZS1GtupfSFFLu,https://api.spotify.com/v1/tracks/5paWhWvATZS1GtupfSFFLu,https://api.spotify.com/v1/audio-analysis/5paWhWvATZS1GtupfSFFLu,115148,4
0.492,0.427,0,-9.387,1,0.141,0.518,3.74e-06,0.332,0.667,91.551,audio_features,0sq0ow5DRnMGGrQbi0ULnM,spotify:track:0sq0ow5DRnMGGrQbi0ULnM,https://api.spotify.com/v1/tracks/0sq0ow5DRnMGGrQbi0ULnM,https://api.spotify.com/v1/audio-analysis/0sq0ow5DRnMGGrQbi0ULnM,139027,4
0.852,0.0553,4,-13.668,1,0.0751,0.95,0.0,0.303,0.55,126.943,audio_features,5faSX8fnIb38gKN1fP5c9M,spotify:track:5faSX8fnIb38gKN1fP5c9M,https://api.spotify.com/v1/tracks/5faSX8fnIb38gKN1fP5c9M,https://api.spotify.com/v1/audio-analysis/5faSX8fnIb38gKN1fP5c9M,101504,4
0.774,0.607,11,-7.051,0,0.0381,0.206,0.000448,0.111,0.871,142.03,audio_features,4LQS13rfGMfhBkcFjiUcsK,spotify:track:4LQS13rfGMfhBkcFjiUcsK,https://api.spotify.com/v1/tracks/4LQS13rfGMfhBkcFjiUcsK,https://api.spotify.com/v1/audio-analysis/4LQS13rfGMfhBkcFjiUcsK,124263,4
0.59,0.172,9,-14.491,1,0.0506,0.945,0.355,0.109,0.371,75.435,audio_features,6ArRESKh1RIWpYhX25oDk4,spotify:track:6ArRESKh1RIWpYhX25oDk4,https://api.spotify.com/v1/tracks/6ArRESKh1RIWpYhX25oDk4,https://api.spotify.com/v1/audio-analysis/6ArRESKh1RIWpYhX25oDk4,194067,4
0.6,0.534,0,-9.155,1,0.0925,0.597,0.0,0.0987,0.847,111.248,audio_features,2ZQkA9XVRmi2YHMOK5cfQL,spotify:track:2ZQkA9XVRmi2YHMOK5cfQL,https://api.spotify.com/v1/tracks/2ZQkA9XVRmi2YHMOK5cfQL,https://api.spotify.com/v1/audio-analysis/2ZQkA9XVRmi2YHMOK5cfQL,79099,4
0.64,0.5,1,-12.931,0,0.049,0.815,0.142,0.107,0.767,170.067,audio_features,4S945wyf6JHw0quIXCEbiu,spotify:track:4S945wyf6JHw0quIXCEbiu,https://api.spotify.com/v1/tracks/4S945wyf6JHw0quIXCEbiu,https://api.spotify.com/v1/audio-analysis/4S945wyf6JHw0quIXCEbiu,291973,4
0.686,0.889,11,-5.897,0,0.0876,0.434,0.0,0.0645,0.938,110.049,audio_features,0P4JXKTcmdslasjPfRJHFd,spotify:track:0P4JXKTcmdslasjPfRJHFd,https://api.spotify.com/v1/tracks/0P4JXKTcmdslasjPfRJHFd,https://api.spotify.com/v1/audio-analysis/0P4JXKTcmdslasjPfRJHFd,125000,4
0.778,0.329,11,-12.537,1,0.0416,0.577,0.5,0.361,0.33,92.951,audio_features,2hrBZK5Tnh6xAWzwUFXBg6,spotify:track:2hrBZK5Tnh6xAWzwUFXBg6,https://api.spotify.com/v1/tracks/2hrBZK5Tnh6xAWzwUFXBg6,https://api.spotify.com/v1/audio-analysis/2hrBZK5Tnh6xAWzwUFXBg6,363973,4
0.73,0.343,11,-12.623,1,0.0514,0.585,0.0653,0.293,0.423,102.045,audio_features,4B1uSXjuz4fhN8RpUJmWg1,spotify:track:4B1uSXjuz4fhN8RpUJmWg1,https://api.spotify.com/v1/tracks/4B1uSXjuz4fhN8RpUJmWg1,https://api.spotify.com/v1/audio-analysis/4B1uSXjuz4fhN8RpUJmWg1,250400,4
0.76,0.642,1,-13.663,1,0.0405,0.705,0.418,0.166,0.795,107.957,audio_features,2OpNOoHk176dSmuHAe9oxE,spotify:track:2OpNOoHk176dSmuHAe9oxE,https://api.spotify.com/v1/tracks/2OpNOoHk176dSmuHAe9oxE,https://api.spotify.com/v1/audio-analysis/2OpNOoHk176dSmuHAe9oxE,295173,4
0.768,0.284,8,-14.603,1,0.0545,0.799,0.0383,0.111,0.407,81.985,audio_features,6HZ58fCCVQhNFqHY73vP7X,spotify:track:6HZ58fCCVQhNFqHY73vP7X,https://api.spotify.com/v1/tracks/6HZ58fCCVQhNFqHY73vP7X,https://api.spotify.com/v1/audio-analysis/6HZ58fCCVQhNFqHY73vP7X,261373,4
0.623,0.516,11,-11.547,0,0.0342,0.524,2.24e-06,0.153,0.596,140.09,audio_features,4jfq7rJdNS77eNIKOmxS1B,spotify:track:4jfq7rJdNS77eNIKOmxS1B,https://api.spotify.com/v1/tracks/4jfq7rJdNS77eNIKOmxS1B,https://api.spotify.com/v1/audio-analysis/4jfq7rJdNS77eNIKOmxS1B,199000,4
0.726,0.36,1,-12.151,0,0.0381,0.779,0.13,0.153,0.399,84.98,audio_features,4YoRy5NgujgYWVnXTtX6tl,spotify:track:4YoRy5NgujgYWVnXTtX6tl,https://api.spotify.com/v1/tracks/4YoRy5NgujgYWVnXTtX6tl,https://api.spotify.com/v1/audio-analysis/4YoRy5NgujgYWVnXTtX6tl,320413,4
