danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,likable
0.558,0.304,2,-10.871,1,0.0347,0.739,0.0,0.117,0.195,127.502,audio_features,4o8ASl77G362BEVsp3TuvB,spotify:track:4o8ASl77G362BEVsp3TuvB,https://api.spotify.com/v1/tracks/4o8ASl77G362BEVsp3TuvB,https://api.spotify.com/v1/audio-analysis/4o8ASl77G362BEVsp3TuvB,238133,4,1
0.623,0.962,4,-2.616,0,0.0895,0.103,0.000174,0.264,0.676,149.963,audio_features,5PUawWFG1oIS2NwEcyHaCr,spotify:track:5PUawWFG1oIS2NwEcyHaCr,https://api.spotify.com/v1/tracks/5PUawWFG1oIS2NwEcyHaCr,https://api.spotify.com/v1/audio-analysis/5PUawWFG1oIS2NwEcyHaCr,211573,4,1
0.558,0.889,8,-3.945,1,0.102,0.191,0.000387,0.328,0.716,170.102,audio_features,25ran9X0iBOYnxFdP6c28n,spotify:track:25ran9X0iBOYnxFdP6c28n,https://api.spotify.com/v1/tracks/25ran9X0iBOYnxFdP6c28n,https://api.spotify.com/v1/audio-analysis/25ran9X0iBOYnxFdP6c28n,213547,4,1
0.834,0.531,3,-10.45,1,0.16,0.48,0.0,0.0957,0.39,99.999,audio_features,5erGUceK8ieHWtTXdnGP65,spotify:track:5erGUceK8ieHWtTXdnGP65,https://api.spotify.com/v1/tracks/5erGUceK8ieHWtTXdnGP65,https://api.spotify.com/v1/audio-analysis/5erGUceK8ieHWtTXdnGP65,239612,4,1
0.399,0.318,10,-13.482,1,0.0295,0.892,0.0125,0.119,0.383,93.566,audio_features,26bCI2KTzz0ow6kL6FEl5Z,spotify:track:26bCI2KTzz0ow6kL6FEl5Z,https://api.spotify.com/v1/tracks/26bCI2KTzz0ow6kL6FEl5Z,https://api.spotify.com/v1/audio-analysis/26bCI2KTzz0ow6kL6FEl5Z,268264,4,1
0.608,0.601,0,-8.44,1,0.0507,0.472,0.0,0.242,0.316,121.656,audio_features,6BRW1hLPP14wpaxJF8YTWe,spotify:track:6BRW1hLPP14wpaxJF8YTWe,https://api.spotify.com/v1/tracks/6BRW1hLPP14wpaxJF8YTWe,https://api.spotify.com/v1/audio-analysis/6BRW1hLPP14wpaxJF8YTWe,185133,4,1
0.677,0.743,6,-5.876,1,0.0611,0.0135,0.00222,0.0581,0.469,127.971,audio_features,6BE26BerB22cVUAhFCp3TJ,spotify:track:6BE26BerB22cVUAhFCp3TJ,https://api.spotify.com/v1/tracks/6BE26BerB22cVUAhFCp3TJ,https://api.spotify.com/v1/audio-analysis/6BE26BerB22cVUAhFCp3TJ,248200,4,1
0.499,0.384,0,-8.125,1,0.0314,0.703,1.33e-05,0.089,0.378,108.53,audio_features,1WRxtvHH4GwqOvH0b3HTII,spotify:track:1WRxtvHH4GwqOvH0b3HTII,https://api.spotify.com/v1/tracks/1WRxtvHH4GwqOvH0b3HTII,https://api.spotify.com/v1/audio-analysis/1WRxtvHH4GwqOvH0b3HTII,221693,3,1
0.629,0.897,2,-3.401,1,0.0483,0.0424,0.0,0.263,0.93,161.944,audio_features,3mcG2NI5G5vhrQtRda1YnA,spotify:track:3mcG2NI5G5vhrQtRda1YnA,https://api.spotify.com/v1/tracks/3mcG2NI5G5vhrQtRda1YnA,https://api.spotify.com/v1/audio-analysis/3mcG2NI5G5vhrQtRda1YnA,168253,4,1
0.668,0.367,11,-11.002,1,0.0285,0.891,0.00521,0.103,0.342,110.21,audio_features,0gKiONJeEtwb3hps4sUgyn,spotify:track:0gKiONJeEtwb3hps4sUgyn,https://api.spotify.com/v1/tracks/0gKiONJeEtwb3hps4sUgyn,https://api.spotify.com/v1/audio-analysis/0gKiONJeEtwb3hps4sUgyn,161907,4,1
0.384,0.981,0,-4.209,1,0.0872,2.54e-05,1.9e-05,0.106,0.307,109.052,audio_features,1iZTuY3wspO4DxFXBD58WX,spotify:track:1iZTuY3wspO4DxFXBD58WX,https://api.spotify.com/v1/tracks/1iZTuY3wspO4DxFXBD58WX,https://api.spotify.com/v1/audio-analysis/1iZTuY3wspO4DxFXBD58WX,166267,4,1
