acousticness,danceability,duration_ms,energy,id,instrumentalness,key_1,key_10,key_11,key_2,key_3,key_4,key_5,key_6,key_7,key_8,key_9,likable,liveness,loudness,mode,speechiness,tempo,time_signature_0time_signature_1time_signature_3,time_signature_3,time_signature_4,time_signature_5,time_signature_6,time_signature_7valence,valence
0.872,0.658,232813,0.296,0THbsvMRmCHpFT3YLX301c,0.0,0,0,0,1,0,0,0,0,0,0,0,1,0.114,-10.584,1,0.0293,103.975,0,0,1,0,0,0,0.311
0.52,0.923,226680,0.518,6GskIhdM6TN6EkPgeSjVfW,0.000142,0,0,0,0,0,0,1,0,0,0,0,1,0.104,-6.008,1,0.0492,93.023,0,0,1,0,0,0,0.682
0.0131,0.777,198066,0.725,7cv28LXcjAC3GsXbUvXKbX,0.00805,0,0,0,0,0,0,0,0,0,0,0,1,0.246,-8.681,1,0.05,116.669,0,0,1,0,0,0,0.529
6.28e-05,0.277,254627,0.67,4iCGSi1RonREsPtfEKYj5b,0.751,0,0,0,0,0,0,0,1,0,0,0,1,0.237,-9.381,1,0.0376,148.342,0,0,1,0,0,0,0.217
3.43e-05,0.486,198267,0.904,23oxJmDc1V9uLUSmN2LIvx,2.83e-05,0,0,0,0,0,0,0,1,0,0,0,1,0.0947,-3.751,0,0.0638,173.734,0,0,1,0,0,0,0.786
0.000714,0.41,258080,0.893,4w7RuuQAVP0JXlAom3z1aC,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0.202,-4.347,0,0.0342,174.648,0,0,1,0,0,0,0.688
0.0135,0.677,248200,0.743,6BE26BerB22cVUAhFCp3TJ,0.00222,0,0,0,0,0,0,0,1,0,0,0,1,0.0581,-5.876,1,0.0611,127.971,0,0,1,0,0,0,0.469
0.0135,0.677,248200,0.743,2iULVN9KgzNweQE8aks2HN,0.00222,0,0,0,0,0,0,0,1,0,0,0,1,0.0581,-5.876,1,0.0611,127.971,0,0,1,0,0,0,0.469
0.462,0.724,170816,0.656,6Hw4G2tOBbFCayFxSLYYSg,0.00703,0,0,0,0,0,0,0,0,1,0,0,1,0.0934,-7.351,1,0.0282,110.968,0,1,0,0,0,0,0.695
0.521,0.377,356307,0.569,06QdJtEtHOckzHhq5EbTfo,0.0,0,0,0,0,0,0,0,0,1,0,0,1,0.0838,-5.702,1,0.0695,80.088,0,0,1,0,0,0,0.51
0.829,0.595,244280,0.473,1kq9lzEHoY3p8naHWpqNlh,0.0002,0,1,0,0,0,0,0,0,0,0,0,1,0.109,-8.287,1,0.0286,146.633,0,0,1,0,0,0,0.599
0.854,0.713,181596,0.7,0r8MVaxE5ko30JyijHe7Yn,1.64e-06,0,0,0,0,0,0,0,0,0,0,1,1,0.264,-7.466,1,0.0371,93.988,0,0,1,0,0,0,0.819
0.249,0.389,211851,0.431,5MMZJtHOiH1RmQSSe3DJdg,0.0,0,0,0,0,0,0,0,0,1,0,0,1,0.13,-8.061,1,0.0344,142.14,0,0,1,0,0,0,0.275
0.0189,0.655,188493,0.632,3bnVBN67NBEzedqQuWrpP4,0.0,0,0,0,1,0,0,0,0,0,0,0,1,0.0722,-4.802,1,0.0489,120.113,0,0,1,0,0,0,0.447
0.794,0.685,163133,0.466,0W4Kpfp1w2xkY3PrV714B7,2.06e-06,0,0,0,0,0,0,0,0,0,0,0,1,0.0915,-9.074,1,0.0304,79.936,0,0,1,0,0,0,0.353
0.0038,0.532,247427,0.783,4h8VwCb1MTGoLKueQ1WgbD,0.0012,0,0,0,1,0,0,0,0,0,0,0,1,0.161,-5.697,1,0.0523,124.08,0,0,1,0,0,0,0.643
0.0595,0.473,166413,0.949,00iVrnhw3JAMU4Iz0M9ljz,0.0,0,0,0,0,0,0,0,0,0,0,1,1,0.0773,-5.293,0,0.124,138.011,0,0,1,0,0,0,0.539
0.135,0.516,279400,0.669,6RaWZSYg9WCB1bcoQSlvcv,0.0738,0,0,0,0,0,0,0,0,0,0,1,1,0.137,-4.636,1,0.0306,93.553,0,0,1,0,0,0,0.128
0.966,0.282,243480,0.253,5YUrp2qRBZxa87W3JYo65Q,3.75e-05,0,1,0,0,0,0,0,0,0,0,0,1,0.212,-13.063,1,0.0387,128.008,0,1,0,0,0,0,0.222
0.0323,0.69,185627,0.818,4WmjzxO3SNyrlvOXJ3ksBo,0.0124,0,0,0,1,0,0,0,0,0,0,0,1,0.148,-8.593,1,0.0687,112.094,0,0,1,0,0,0,0.947
0.725,0.809,300600,0.368,6rDnB1z5znXce3PgAAk2SU,6.1e-05,0,0,0,0,0,0,1,0,0,0,0,1,0.129,-13.53,1,0.0368,115.049,0,0,1,0,0,0,0.547
