name,id,artist_popularity,artist_genre,artist_track,likable
Catch 22,1xgA0hENxpykh3AxlMBjlT,48,"['modern ska punk', 'punk', 'ska', 'ska punk', 'skate punk']",1xgA0hENxpykh3AxlMBjlT,1
Caamp,0wyMPXGfOuQzNR54ujR9Ix,71,"['indie folk', 'stomp and holler']",0wyMPXGfOuQzNR54ujR9Ix,1
fun.,5nCi3BB41mBaMH9gfr6Su0,72,"['baroque pop', 'metropopolis', 'modern rock', 'pop rock']",5nCi3BB41mBaMH9gfr6Su0,1
Mt. Joy,69tiO1fG8VWduDl3ji2qhI,68,"['indie folk', 'modern rock', 'stomp and holler']",69tiO1fG8VWduDl3ji2qhI,1
Jeremy Fisher,19QzBfgfbcbByY8SFvXA2F,32,"['canadian indie', 'canadian singer-songwriter']",19QzBfgfbcbByY8SFvXA2F,1
Mumford & Sons,3gd8FJtBJtkRxdfbTu19U2,76,"['modern folk rock', 'modern rock', 'pop rock', 'stomp and holler', 'uk americana']",3gd8FJtBJtkRxdfbTu19U2,1
San Cisco,0Ou0138wEd8XWebhc4j7O0,58,"['australian indie', 'australian pop', 'fremantle indie', 'metropopolis', 'perth indie']",0Ou0138wEd8XWebhc4j7O0,1
Sonny Cleveland,068h66CFkNBvqw5SaIQ3ZA,41,"['deep new americana', 'retro soul']",068h66CFkNBvqw5SaIQ3ZA,1
Cloud Cult,6R1T5YklzC9OFugGt8RwOD,44,"['duluth indie', 'stomp and holler']",6R1T5YklzC9OFugGt8RwOD,1
Mason Jennings,6CQrZZn0g2ZNfIcXbi4pdo,48,"['indie folk', 'stomp and holler']",6CQrZZn0g2ZNfIcXbi4pdo,1
Milky Chance,1hzfo8twXdOegF3xireCYs,77,['german pop'],1hzfo8twXdOegF3xireCYs,1
Miike Snow,4l1cKWYW591xnwEGxpUg3J,62,"['alternative dance', 'electropop', 'indie rock', 'indietronica', 'modern rock', 'new rave', 'swedish electropop', 'swedish indie pop', 'swedish synthpop']",4l1cKWYW591xnwEGxpUg3J,1
Arctic Monkeys,7Ln80lUS6He07XvHI8qqHH,88,"['garage rock', 'permanent wave', 'rock', 'sheffield indie']",7Ln80lUS6He07XvHI8qqHH,1
Lizzo,56oDRnqbIiwx4mymNEv7dS,79,"['dance pop', 'escape room', 'minnesota hip hop', 'pop', 'trap queen']",56oDRnqbIiwx4mymNEv7dS,1
The All-American Rejects,3vAaWhdBR38Q02ohXqaNHT,71,"['modern rock', 'pop punk', 'pop rock', 'rock']",3vAaWhdBR38Q02ohXqaNHT,1
Dan Auerbach,6YWdHD3R863Apw1hkx3BwC,60,"['alternative rock', 'funk', 'garage rock', 'indie folk', 'modern blues rock', 'modern rock', 'punk blues', 'rock', 'roots rock', 'stomp and holler']",6YWdHD3R863Apw1hkx3BwC,1
The Proclaimers,1A92IAcd7A6npCA33oGM5i,65,"['celtic rock', 'scottish rock']",1A92IAcd7A6npCA33oGM5i,1
